Source.Name,Rk,Team,date,pts,away,opp,result,mp,fg,fga,fgpc,twop,twopa,twofgpc,threep,threepa,threefgpc,ft,fta,ftpc,season
NBA_by_game_1000.csv,869,HOU,1/18/2016,132,away,LAC,L 132-140 (OT),265,44,88,0.5,33,56,0.589,11,32,0.344,33,52,0.635,2015-16
NBA_by_game_1000.csv,870,SAC,10/30/2015,132,,LAL,W 132-114,240,52,101,0.515,46,79,0.582,6,22,0.273,22,30,0.733,2015-16
NBA_by_game_1000.csv,871,BOS,12/8/2014,132,away,WAS,L 132-133 (2OT),290,47,102,0.461,38,80,0.475,9,22,0.409,29,32,0.906,2014-15
NBA_by_game_1000.csv,872,DAL,12/2/2014,132,away,CHI,W 132-129 (2OT),290,47,102,0.461,32,72,0.444,15,30,0.5,23,27,0.852,2014-15
NBA_by_game_1000.csv,873,NOP,3/4/2014,132,away,LAL,W 132-125,240,46,77,0.597,39,60,0.65,7,17,0.412,33,40,0.825,2013-14
NBA_by_game_1000.csv,874,MIN,3/3/2014,132,away,DEN,W 132-128,240,38,80,0.475,34,64,0.531,4,16,0.25,52,64,0.813,2013-14
NBA_by_game_1000.csv,875,SAS,4/8/2023,131,,MIN,L 131-151,240,50,95,0.526,37,66,0.561,13,29,0.448,18,24,0.75,2022-23
NBA_by_game_1000.csv,876,ATL,4/7/2023,131,,PHI,L 131-136 (OT),265,51,92,0.554,41,59,0.695,10,33,0.303,19,28,0.679,2022-23
NBA_by_game_1000.csv,877,MEM,4/5/2023,131,away,NOP,L 131-138 (OT),265,50,104,0.481,38,68,0.559,12,36,0.333,19,25,0.76,2022-23
NBA_by_game_1000.csv,878,NOP,3/25/2023,131,away,LAC,W 131-110,240,51,96,0.531,30,62,0.484,21,34,0.618,8,9,0.889,2022-23
NBA_by_game_1000.csv,879,MIN,3/17/2023,131,away,CHI,L 131-139 (2OT),290,46,100,0.46,28,58,0.483,18,42,0.429,21,31,0.677,2022-23
NBA_by_game_1000.csv,880,MEM,3/9/2023,131,,GSW,W 131-110,240,50,93,0.538,32,53,0.604,18,40,0.45,13,18,0.722,2022-23
NBA_by_game_1000.csv,881,UTA,3/9/2023,131,away,ORL,W 131-124,240,49,88,0.557,36,54,0.667,13,34,0.382,20,21,0.952,2022-23
NBA_by_game_1000.csv,882,NYK,3/5/2023,131,away,BOS,W 131-129 (2OT),290,47,95,0.495,32,54,0.593,15,41,0.366,22,32,0.688,2022-23
NBA_by_game_1000.csv,883,POR,2/26/2023,131,,HOU,W 131-114,240,42,77,0.545,22,38,0.579,20,39,0.513,27,35,0.771,2022-23
NBA_by_game_1000.csv,884,CHI,2/24/2023,131,,BRK,W 131-87,240,50,88,0.568,38,62,0.613,12,26,0.462,19,28,0.679,2022-23
NBA_by_game_1000.csv,885,MIL,2/14/2023,131,,BOS,W 131-125 (OT),265,43,90,0.478,25,48,0.521,18,42,0.429,27,35,0.771,2022-23
NBA_by_game_1000.csv,886,SAS,2/10/2023,131,away,DET,L 131-138 (2OT),290,45,107,0.421,31,65,0.477,14,42,0.333,27,34,0.794,2022-23
NBA_by_game_1000.csv,887,NOP,2/4/2023,131,,LAL,W 131-126,240,52,100,0.52,43,70,0.614,9,30,0.3,18,20,0.9,2022-23
NBA_by_game_1000.csv,888,UTA,2/1/2023,131,,TOR,W 131-128,240,44,83,0.53,27,36,0.75,17,47,0.362,26,30,0.867,2022-23
NBA_by_game_1000.csv,889,IND,1/27/2023,131,,MIL,L 131-141,240,49,89,0.551,36,56,0.643,13,33,0.394,20,28,0.714,2022-23
NBA_by_game_1000.csv,890,LAC,1/20/2023,131,away,SAS,W 131-126,240,51,81,0.63,36,53,0.679,15,28,0.536,14,20,0.7,2022-23
NBA_by_game_1000.csv,891,UTA,1/5/2023,131,away,HOU,W 131-114,240,46,93,0.495,27,45,0.6,19,48,0.396,20,21,0.952,2022-23
NBA_by_game_1000.csv,892,MEM,1/4/2023,131,away,CHO,W 131-107,240,47,94,0.5,38,64,0.594,9,30,0.3,28,37,0.757,2022-23
NBA_by_game_1000.csv,893,IND,12/31/2022,131,,LAC,W 131-130,240,46,88,0.523,32,50,0.64,14,38,0.368,25,29,0.862,2022-23
NBA_by_game_1000.csv,894,DET,12/26/2022,131,,LAC,L 131-142 (OT),265,44,100,0.44,28,66,0.424,16,34,0.471,27,34,0.794,2022-23
NBA_by_game_1000.csv,895,PHI,12/11/2022,131,,CHO,W 131-113,240,46,83,0.554,33,56,0.589,13,27,0.481,26,32,0.813,2022-23
NBA_by_game_1000.csv,896,DET,12/1/2022,131,,DAL,W 131-125 (OT),265,51,94,0.543,36,59,0.61,15,35,0.429,14,24,0.583,2022-23
NBA_by_game_1000.csv,897,DEN,11/23/2022,131,away,OKC,W 131-126 (OT),265,42,88,0.477,28,50,0.56,14,38,0.368,33,41,0.805,2022-23
NBA_by_game_1000.csv,898,BOS,11/11/2022,131,,DEN,W 131-112,240,50,90,0.556,34,53,0.642,16,37,0.432,15,20,0.75,2022-23
NBA_by_game_1000.csv,899,CHO,10/26/2022,131,away,NYK,L 131-134 (OT),265,49,99,0.495,36,68,0.529,13,31,0.419,20,30,0.667,2022-23
NBA_by_game_1000.csv,900,MIL,4/8/2022,131,away,DET,W 131-101,240,50,101,0.495,39,64,0.609,11,37,0.297,20,23,0.87,2021-22
NBA_by_game_1000.csv,901,DAL,4/6/2022,131,away,DET,W 131-113,240,45,80,0.563,30,47,0.638,15,33,0.455,26,34,0.765,2021-22
NBA_by_game_1000.csv,902,PHI,4/5/2022,131,away,IND,W 131-122,240,47,87,0.54,24,47,0.511,23,40,0.575,14,18,0.778,2021-22
